OBJECTID,NEIGH_NO,NEIGH_NAME,DETL_NAMES,NEIGHDIST_NO,NEIGHDIST_NAME,AREA_ACRES,AREA_SQMI,F1990_PL_data_TOT_POP,F1990_PL_data_WHITE_NOT,F1990_PL_data_BLACK_NOT,F1990_PL_data_AMI_NOT,F1990_PL_data_ASIAN_NOT,F1990_PL_data_OTHER_NOT,F1990_PL_data_WHITE_HISP,F1990_PL_data_BLACK_HISP,F1990_PL_data_AMI_HISP,F1990_PL_data_ASIAN_HISP,F1990_PL_data_OTHER_HISP,F1990_PL_data_HISPANIC,F1990_PL_data_NOT_HISP,F1990_PL_data_POC,F1990_PL_data_POP_UNDER_18,F1990_PL_data_POC_U_18,F1990_PL_data_POP_OVER_18,F1990_PL_data_HU,F1990_PL_data_HU_OCC,F1990_PL_data_HU_VAC,F2000_PL_data_TOT_POP,F2000_PL_data_POP_ONE,F2000_PL_data_WHITE_ALONE,F2000_PL_data_BLACK_ALONE,F2000_PL_data_AMI_ALONE,F2000_PL_data_ASIAN_ALONE,F2000_PL_data_PI_ALONE,F2000_PL_data_OTHER_ALONE,F2000_PL_data_TWO_MORE,F2000_PL_data_HISPANIC,F2000_PL_data_NOT_HISPANIC,F2000_PL_data_WHITE_NOT_HISPANI,F2000_PL_data_BLACK_NOT_HISPANI,F2000_PL_data_AMI_NOT_HISPANIC,F2000_PL_data_ASIAN_NOT_HISPANI,F2000_PL_data_PI_NOT_HISPANIC,F2000_PL_data_OTHER_NOT_HISPANI,F2000_PL_data_TWO__NOT_HISPANIC,F2000_PL_data_POC,F2000_PL_data_POP_OVER_18,F2000_PL_data_POP_UNDER_18,F2000_PL_data_U_18_POC,F2000_PL_data_HU,F2000_PL_data_HU_OCC,F2000_PL_data_HU_VAC,F2010_PL_data_TOT_POP,F2010_PL_data_POP_ONE,F2010_PL_data_WHITE_ALONE,F2010_PL_data_BLACK_ALONE,F2010_PL_data_AMI_ALONE,F2010_PL_data_ASIAN_ALONE,F2010_PL_data_PI_ALONE,F2010_PL_data_OTHER_ALONE,F2010_PL_data_TWO_MORE,F2010_PL_data_HISPANIC,F2010_PL_data_NOT_HISPANIC,F2010_PL_data_WHITE_NOT_HISPANI,F2010_PL_data_BLACK_NOT_HISPANI,F2010_PL_data_AMI_NOT_HISPANIC,F2010_PL_data_ASIAN_NOT_HISPANI,F2010_PL_data_PI_NOT_HISPANIC,F2010_PL_data_OTHER_NOT_HISPANI,F2010_PL_data_TWO__NOT_HISPANIC,F2010_PL_data_POC,F2010_PL_data_POP_OVER_18,F2010_PL_data_POP_UNDER_18,F2010_PL_data_U_18_POC,F2010_PL_data_HU,F2010_PL_data_HU_OCC,F2010_PL_data_HU_VACANT,F2020_PL_data_TOT_POP,F2020_PL_data_POP_ONE,F2020_PL_data_WHITE_ALONE,F2020_PL_data_BLACK_ALONE,F2020_PL_data_AMI_ALONE,F2020_PL_data_ASIAN_ALONE,F2020_PL_data_PI_ALONE,F2020_PL_data_OTHER_ALONE,F2020_PL_data_TWO_MORE,F2020_PL_data_HISPANIC,F2020_PL_data_NOT_HISPANIC,F2020_PL_data_WHITE_NOT_HISPANI,F2020_PL_data_BLACK_NOT_HISPANI,F2020_PL_data_AMI_NOT_HISPANIC,F2020_PL_data_ASIAN_NOT_HISPANI,F2020_PL_data_PI_NOT_HISPANIC,F2020_PL_data_OTHER_NOT_HISPANI,F2020_PL_data_TWO__NOT_HISPANIC,F2020_PL_data_POC,F2020_PL_data_POP_OVER_18,F2020_PL_data_POP_UNDER_18,F2020_PL_data_U_18_POC,F2020_PL_data_HU,F2020_PL_data_HU_OCC,F2020_PL_data_HU_VACANT,F1990_PL_data_GQ_I,F1990_PL_data_GQ_N_I,F2000_PL_data_GQ_I,F2000_PL_data_GQ_N_I,F2010_PL_data_GQ_I,F2010_PL_data_GQ_N_I,F2020_PL_data_GQ_I,F2020_PL_data_GQ_N_I,Shape__Area,Shape__Length
11,3.2,Georgetown,Georgetown,3,Greater Duwamish,1183.9,1.85,1238,808,97,63,117,1,48,5,16,4,79,152,1086,430,234,117,1004,671,611,60,1181,1112,724,78,30,163,19,98,69,174,1007,667,78,25,163,19,2,53,514,1000,181,133,667,585,82,1287,1237,904,95,25,126,4,83,50,158,1129,842,92,19,125,4,4,43,445,1124,163,105,675,619,56,1457,1276,950,90,14,166,2,54,181,142,1315,922,90,9,162,2,11,119,535,1302,155,81,802,734,68,0,18,0,19,0,84,0,41,51570826.0412445,44780.4190728638
12,3.3,Duwamish/SODO,"Duwamish, SODO, Pioneer Square",3,Greater Duwamish,2343.5,3.66,2331,1117,344,79,655,7,36,17,6,5,65,129,2202,1214,240,199,2091,831,777,54,2602,2467,1169,377,73,712,8,128,135,239,2363,1068,370,70,710,7,36,102,1534,2325,277,223,1038,994,44,2354,2226,1171,244,95,534,14,168,128,296,2058,1066,238,91,532,14,12,105,1288,2110,244,197,1104,994,110,3611,3229,1928,306,70,675,24,226,382,459,3152,1798,294,55,670,23,18,294,1813,3298,313,222,1812,1627,185,0,729,0,656,0,420,0,676,102080799.928497,53360.7570739473
13,3.4,South Beacon Hill/NewHolly,"South Beacon Hill, NewHolly, Holly Park",3,Greater Duwamish,1549.5,2.42,10483,1921,3622,200,4208,23,109,30,29,142,199,509,9974,8562,3291,2942,7192,3703,3531,172,11452,10786,1378,2767,86,5959,229,367,666,683,10769,1193,2726,80,5921,229,18,602,10259,8283,3169,3049,3675,3452,223,14551,13787,1910,4073,75,7296,102,331,764,836,13715,1614,4011,64,7261,100,12,653,12937,10659,3892,3707,4679,4443,236,15037,14028,2211,3895,88,7237,82,515,1009,963,14074,2098,3866,37,7217,82,60,714,12939,11519,3518,3278,4891,4718,173,0,22,0,65,0,190,9,58,67496709.7840881,44496.5606991094
14,3.5,Beacon Hill,Beacon Hill,3,Greater Duwamish,841.1,1.31,7832,1972,1305,105,4124,7,98,26,7,76,112,319,7513,5860,1805,1535,6027,2696,2617,79,9002,8591,1763,1206,94,5242,120,166,411,364,8638,1638,1177,84,5226,120,30,363,7364,7034,1968,1812,2859,2773,86,9101,8544,2067,1031,62,5087,69,228,557,581,8520,1854,1011,42,5064,59,23,467,7247,7302,1799,1560,3166,2980,186,9611,8709,2521,775,88,4804,29,492,902,890,8721,2425,764,31,4791,29,48,633,7186,7836,1775,1409,3305,3163,142,0,41,0,259,0,95,0,108,36636855.3012695,27112.9105943031
15,3.6,North Beacon Hill/Jefferson Park,"North Beacon Hill, Jefferson Park",3,Greater Duwamish,1232,1.92,12490,2966,2292,283,6249,46,140,37,37,169,271,654,11836,9524,2774,2361,9716,4970,4758,212,13341,12385,3397,1858,215,6105,109,701,956,1549,11792,2898,1823,140,6083,105,41,702,10443,10511,2830,2558,5254,4992,262,13782,12989,4772,1735,130,5066,49,1237,793,2099,11683,4165,1678,100,5023,46,26,645,9617,11322,2460,2029,6047,5568,479,15953,14104,6252,1801,204,4606,49,1192,1849,2201,13752,5967,1773,85,4575,48,74,1230,9986,13443,2510,1845,6960,6578,382,234,5,52,241,82,141,186,341,53665453.1933289,37207.4639898794
16,4.1,Rainier Beach,"Rainier Beach, Rainier View, Lake Ridge, Dunlap",4,Southeast,1363.1,2.13,13046,5155,4192,210,2942,21,133,64,26,114,189,526,12520,7891,3555,2708,9491,5301,4818,483,14658,13657,4022,4608,147,4189,244,447,1001,919,13739,3761,4523,122,4177,232,38,886,10897,10883,3775,3320,5341,5134,207,14597,13603,3775,4630,124,4325,172,577,994,1263,13334,3414,4543,94,4280,157,26,820,11183,11208,3389,2962,5542,5144,398,15532,14033,4176,4336,141,4311,110,959,1499,1727,13805,4008,4258,70,4269,103,67,1030,11524,12176,3356,2841,5806,5521,285,0,95,7,172,0,151,0,64,59374855.1426239,54987.9705122585
17,4.2,Columbia City,"Columbia City, Brighton, Mt. Baker, Lakewood, Genesee, Hillman City",4,Southeast,1310.2,2.05,16908,4277,6502,251,5109,48,158,107,26,141,289,721,16187,12631,4903,4166,12005,6473,6014,459,16681,15508,4195,4874,176,5396,230,637,1173,1121,15560,3868,4825,150,5361,217,70,1069,12813,12501,4180,3604,6065,5775,290,16883,15875,5576,4521,126,4948,152,552,1008,1340,15543,5020,4455,91,4922,152,47,856,11863,13191,3692,2938,6720,6287,433,22074,19898,8288,5113,185,5330,110,872,2176,1908,20166,7990,5012,92,5292,103,112,1565,14084,17888,4186,3103,9280,8896,384,188,32,281,73,222,152,220,172,57072692.2732849,45667.7424621736
18,4.3,Seward Park,"Seward Park, Hillman City",4,Southeast,1010.6,1.58,7043,3640,1554,54,1476,24,114,10,2,65,104,295,6748,3403,1681,1018,5362,2710,2614,96,9230,8627,4101,1606,62,2429,88,341,603,645,8585,3886,1575,53,2420,88,33,530,5344,6975,2255,1528,3408,3292,116,9254,8746,4796,1510,25,2029,57,329,508,763,8491,4492,1455,17,2013,54,24,436,4762,7142,2112,1169,3607,3407,200,9687,8601,4973,1368,73,1685,39,463,1086,883,8804,4846,1352,21,1677,37,125,746,4841,7603,2084,1179,3811,3630,181,142,9,196,34,168,28,133,12,44022748.1191406,41505.0650848907
19,4.4,Mt. Baker/North Rainier,"Mt. Baker, North Rainier, Atlantic",4,Southeast,629.9,0.98,5409,2559,1786,62,874,10,37,32,5,8,36,118,5291,2850,1343,777,4066,2204,2096,108,5717,5467,3003,1338,59,1001,7,59,250,128,5589,2948,1325,53,1001,6,15,241,2769,4401,1316,746,2392,2313,79,5906,5536,3382,1004,43,984,14,109,370,285,5621,3275,987,37,982,11,14,315,2631,4627,1279,628,2558,2418,140,6747,5935,3764,864,45,1071,6,185,812,470,6277,3698,854,34,1064,6,42,579,3049,5479,1268,670,2946,2813,133,70,0,0,44,3,28,0,28,27439653.4281921,29849.6262622726
20,5.1,Madrona/Leschi,"Madrona, Leschi, Harrison/Denny-Blaine",5,Central,827,1.29,9491,4870,3764,40,489,33,89,69,0,15,122,295,9196,4621,2055,1232,7436,4069,3785,284,9693,9253,5679,2850,55,473,25,171,440,423,9270,5483,2800,54,471,25,39,398,4210,7631,2062,1168,4188,3970,218,9974,9408,6411,2069,53,667,36,172,566,513,9461,6186,2037,36,664,34,26,478,3788,7972,2002,932,4522,4182,340,10910,9745,6955,1462,33,1017,14,264,1165,663,10247,6830,1426,26,1007,13,63,882,4080,8832,2078,996,4831,4551,280,184,50,260,59,137,87,120,25,36024341.2684326,40585.252375699
21,5.2,Judkins Park,"Judkins Park, Central Area, Little Saigon, Atlantic",5,Central,202.9,0.32,1875,259,759,26,789,3,6,9,3,10,11,39,1836,1616,383,354,1492,876,807,69,2134,1954,394,552,31,840,1,136,180,326,1808,280,539,13,837,1,4,134,1854,1691,443,422,941,888,53,2925,2739,1008,640,25,884,8,174,186,318,2607,902,638,14,876,7,6,164,2023,2525,400,345,1775,1492,283,4284,3816,1662,814,70,1031,16,223,468,412,3872,1578,802,49,1025,16,28,374,2706,3790,494,404,2425,2250,175,145,0,0,153,144,47,0,193,8837338.03665161,13582.310929366
22,5.3,Central Area/Squire Park,"Central Area, Mann, Minor, Squire Park",5,Central,849.6,1.33,14229,4483,8220,165,855,43,167,104,5,12,175,463,13766,9746,3091,2682,11138,7007,6309,698,15518,14622,7435,5661,127,776,46,577,896,1228,14290,6960,5583,111,765,44,65,762,8558,13013,2505,2051,7635,7274,361,16969,15905,10369,3668,106,1160,40,562,1064,1351,15618,9803,3614,87,1147,32,36,899,7166,14623,2346,1485,8879,8216,663,19945,17571,12050,2506,125,2225,59,606,2374,1776,18169,11652,2455,71,2194,52,113,1632,8293,17560,2385,1309,10614,9917,697,250,183,138,201,131,180,45,147,37007294.5110474,28540.7947276557
23,6.1,First Hill,"First Hill, Yesler Terrace, Squire Park",6,East,440.9,0.69,11889,7376,2134,342,1287,12,293,107,41,61,236,738,11151,4513,871,583,11018,6544,5807,737,15506,14898,9601,2597,306,1786,124,484,608,1099,14407,9105,2570,293,1773,120,37,509,6401,14540,966,741,7114,6539,575,15181,14574,9266,2245,252,2247,83,481,607,1185,13996,8721,2198,219,2226,82,55,495,6460,14357,824,663,9159,7628,1531,20322,18330,10711,2147,187,4495,101,689,1992,1924,18398,10204,2106,146,4438,96,98,1310,10118,19480,842,662,12068,10616,1452,2284,1244,3800,1957,1979,1966,1589,2879,19206217.0219727,21945.958277389
24,6.2,Capitol Hill,"Capitol Hill, Pike/Pine, Broadway, First Hill",6,East,426.5,0.67,15715,12494,1334,219,944,27,351,43,23,25,255,697,15018,3221,604,259,15111,12058,11041,1017,18324,17576,14307,1232,234,1381,57,365,748,990,17334,13827,1188,204,1371,55,65,624,4497,17682,642,367,13180,12618,562,19078,18052,14636,1058,169,1767,60,362,1026,1373,17705,13845,1037,141,1744,56,52,830,5233,18397,681,410,14333,13177,1156,27064,23998,17326,1394,163,4219,70,826,3066,2545,24519,16661,1346,98,4174,63,193,1984,10403,26184,880,604,20332,19122,1210,103,143,71,392,15,356,0,206,18579973.3768311,19343.7967546677
25,6.3,North Capitol Hill,"North Capitol Hill, Capitol Hill, North Broadway",6,East,283.7,0.44,4141,3672,148,43,175,2,70,2,3,2,24,101,4040,469,427,65,3714,2367,2243,124,4045,3910,3577,89,23,176,7,38,135,136,3909,3488,86,22,171,7,12,123,557,3657,388,94,2356,2290,66,4157,4000,3655,46,21,243,4,31,157,181,3976,3536,44,14,240,4,6,132,621,3716,441,91,2520,2294,226,4672,4178,3613,70,3,402,8,82,494,308,4364,3524,69,1,396,8,29,337,1148,4206,466,168,2769,2553,216,0,37,0,10,0,7,0,13,12356839.921814,18047.3824394853
26,6.4,Miller Park,"Madison-Miller, Miller Park, Capitol Hill, Stevens",6,East,364.2,0.57,6422,4731,1185,43,240,20,111,29,8,2,53,203,6219,1691,1156,383,5266,3006,2895,111,6462,6186,5081,735,33,264,5,68,276,212,6250,4966,727,27,263,4,15,248,1496,5387,1075,327,3127,3009,118,6705,6398,5472,493,13,356,7,57,307,288,6417,5283,487,11,352,7,8,269,1422,5558,1147,333,3302,3146,156,7764,6915,5655,387,45,681,7,140,849,471,7293,5545,376,26,675,6,54,611,2219,6560,1204,439,3856,3658,198,27,68,67,56,27,62,96,42,15863125.845459,18141.3121409905
27,6.5,Madison Park,"Madison Park, Broadmoor, Washington Park, Harrison/Denny-Blaine",6,East,558.6,0.87,5140,4864,110,10,91,2,47,0,0,2,14,63,5077,276,698,38,4442,2757,2636,121,5006,4947,4748,54,2,113,7,23,59,68,4938,4705,54,2,112,7,6,52,301,4302,704,52,2822,2672,150,4962,4821,4546,60,10,186,2,17,141,136,4826,4452,53,9,184,2,0,126,510,4064,898,136,2829,2526,303,5530,5090,4641,66,7,303,0,73,440,259,5271,4567,60,7,300,0,19,318,963,4597,933,251,2784,2540,244,214,0,0,49,26,0,171,0,24333969.4953918,26794.5430841267
28,7.1,Montlake/Portage Bay,"Montlake, Portage Bay, Interlaken Park, Eastlake, Roanoke Park, Washington Park",7,Northeast,951.1,1.49,8231,7353,304,41,349,8,100,12,7,6,51,176,8055,878,1117,128,7114,4216,4048,168,8247,8006,7259,216,35,437,5,54,241,167,8080,7148,211,33,435,5,19,229,1099,7183,1064,188,4305,4144,161,8644,8295,7384,167,26,608,10,100,349,284,8360,7210,161,19,606,10,37,317,1434,7445,1199,263,4690,4309,381,9742,8752,7419,192,41,926,10,164,990,532,9210,7276,185,26,924,9,78,712,2466,8396,1346,458,5088,4706,382,0,28,0,39,6,15,8,34,41429077.4847412,50694.3209813909
29,7.2,University District,"University District, Cowen Park, Ravenna",7,Northeast,957,1.5,15818,11847,461,160,2727,31,309,24,12,41,206,592,15226,3971,652,163,15166,5057,4870,187,16777,15952,12081,363,102,3126,47,233,825,691,16086,11720,355,88,3105,47,50,721,5057,16154,623,202,5251,5050,201,19051,17839,12527,437,95,4446,56,278,1212,955,18096,11948,424,78,4423,52,51,1120,7103,18445,606,178,5986,5587,399,25130,22857,12634,845,146,8191,91,950,2273,2293,22837,11879,801,101,8149,82,107,1718,13251,24024,1106,550,8072,7220,852,82,6177,0,6779,13,8209,29,10990,41688139.7703247,41126.8270653615
30,7.3,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District",7,Northeast,1635.1,2.55,21524,18766,490,159,1552,26,305,6,6,30,184,531,20993,2758,3195,582,18329,9429,9154,275,22377,21599,18880,479,122,1840,49,229,778,693,21684,18479,467,112,1834,43,60,689,3898,18668,3709,901,9911,9604,307,24187,22961,19394,522,92,2586,38,329,1226,1083,23104,18761,492,72,2565,36,81,1097,5426,19960,4227,1232,10777,10177,600,27242,24190,18971,635,93,3854,35,602,3052,1712,25530,18525,600,77,3833,30,235,2230,8717,22313,4929,1912,11551,10953,598,236,1059,0,939,7,787,12,1336,71226010.5147705,45748.8504754546
31,7.4,Wedgwood/View Ridge,"Wedgwood, View Ridge, Bryant, Matthews Beach",7,Northeast,1502.6,2.35,14233,12266,238,81,1284,9,228,4,8,23,92,355,13878,1967,2567,470,11666,6317,6147,170,14531,14030,12089,217,67,1443,15,199,501,424,14107,11872,215,61,1435,15,44,465,2659,11700,2831,736,6344,6168,176,14837,14155,12112,233,79,1549,13,169,682,624,14213,11764,218,55,1531,12,26,607,3073,11658,3179,865,6526,6201,325,16629,14797,11818,258,80,2425,21,195,1832,837,15792,11628,250,56,2399,19,59,1381,5001,12915,3714,1458,6935,6681,254,130,0,76,163,55,29,3,47,65452932.6588745,41707.0858059412
