,Service Area,School Name,Year,Indicator Name,Value
28,Hamilton,McDonald,2011,Enrollment,187.0
29,Hamilton,West Woodland,2011,Enrollment,473.0
30,Madison,Alki,2011,Enrollment,355.0
31,Madison,Gatewood,2011,Enrollment,484.0
32,Madison,Lafayette,2011,Enrollment,547.0
33,Madison,Pathfinder,2011,Enrollment,490.0
34,Madison,Schmitz Park,2011,Enrollment,463.0
35,McClure,Catharine Blaine,2011,Enrollment,581.0
36,McClure,Coe,2011,Enrollment,423.0
37,McClure,John Hay,2011,Enrollment,530.0
38,McClure,Lawton,2011,Enrollment,440.0
39,McClure,Queen Anne,2011,Enrollment,223.0
40,Mercer,Beacon Hill Intl.,2011,Enrollment,452.0
41,Mercer,Dearborn Park,2011,Enrollment,309.0
42,Mercer,Hawthorne,2011,Enrollment,296.0
43,Mercer,Kimball,2011,Enrollment,471.0
44,Mercer,Maple,2011,Enrollment,480.0
45,Mercer,Orca,2011,Enrollment,489.0
46,Mercer,Van Asselt,2011,Enrollment,532.0
47,Washington,Gatzert,2011,Enrollment,371.0
48,Washington,John Muir,2011,Enrollment,404.0
49,Washington,Leschi,2011,Enrollment,378.0
50,Washington,Lowell,2011,Enrollment,616.0
51,Washington,Madrona,2011,Enrollment,315.0
52,Washington,McGilvra,2011,Enrollment,298.0
53,Washington,Montlake,2011,Enrollment,238.0
54,Washington,Stevens,2011,Enrollment,371.0
55,Washington,T. Marshall,2011,Enrollment,451.0
56,Washington,TOPS,2011,Enrollment,501.0
57,Whitman,Adams,2011,Enrollment,473.0
58,Whitman,Broadview-Thomson,2011,Enrollment,656.0
59,Whitman,Daniel Bagley,2011,Enrollment,393.0
60,Whitman,Greenwood,2011,Enrollment,332.0
61,Whitman,Loyal Heights,2011,Enrollment,401.0
62,Whitman,North Beach,2011,Enrollment,315.0
63,Whitman,Northgate,2011,Enrollment,231.0
64,Whitman,Salmon Bay,2011,Enrollment,617.0
65,Whitman,Viewlands,2011,Enrollment,176.0
66,Whitman,Whittier,2011,Enrollment,460.0
67,Middle Schools,Aki Kurose,2011,Enrollment,658.0
68,Middle Schools,Denny Intl.,2011,Enrollment,861.0
69,Middle Schools,Eckstein,2011,Enrollment,1278.0
70,Middle Schools,Hamilton Intl.,2011,Enrollment,919.0
71,Middle Schools,Madison,2011,Enrollment,828.0
72,Middle Schools,McClure,2011,Enrollment,483.0
73,Middle Schools,Mercer,2011,Enrollment,924.0
74,Middle Schools,Washington,2011,Enrollment,1123.0
75,Middle Schools,Whitman,2011,Enrollment,983.0
76,High Schools,Ballard,2011,Enrollment,1636.0
77,High Schools,Center School,2011,Enrollment,278.0
78,High Schools,Chief Sealth Intl.,2011,Enrollment,1239.0
79,High Schools,Cleveland,2011,Enrollment,819.0
80,High Schools,Franklin,2011,Enrollment,1415.0
81,High Schools,Garfield,2011,Enrollment,1721.0
82,High Schools,Ingraham,2011,Enrollment,949.0
83,High Schools,Nathan Hale,2011,Enrollment,1144.0
84,High Schools,Nova,2011,Enrollment,340.0
85,High Schools,Rainier Beach,2011,Enrollment,365.0
86,High Schools,Roosevelt,2011,Enrollment,1662.0
87,High Schools,West Seattle,2011,Enrollment,995.0
88,Service Schools,Ed. Serv. Center,2011,Enrollment,16.0
89,Service Schools,Home School Resource,2011,Enrollment,184.0
90,Service Schools,InterAgency,2011,Enrollment,420.0
91,Service Schools,Middle College,2011,Enrollment,184.0
92,Service Schools,Secondary BOC,2011,Enrollment,203.0
93,Service Schools,South Lake,2011,Enrollment,143.0
94,Service Schools,SpEd Consortium,2011,Enrollment,151.0
95,All,TOTAL,2011,Enrollment,48496.0
0,Aki Kurose,Martin Luther King Jr.,2012,Enrollment,362.0
1,Aki Kurose,Dunlap,2012,Enrollment,376.0
2,Aki Kurose,Emerson,2012,Enrollment,287.0
3,Aki Kurose,Graham Hill,2012,Enrollment,403.0
4,Aki Kurose,Rainier View,2012,Enrollment,181.0
5,Aki Kurose,South Shore,2012,Enrollment,621.0
6,Aki Kurose,Wing Luke,2012,Enrollment,331.0
7,Denny,Arbor Heights,2012,Enrollment,337.0
8,Denny,Concord Intl.,2012,Enrollment,409.0
9,Denny,Highland Park,2012,Enrollment,427.0
10,Denny,K-5 STEM at Boren,2012,Enrollment,268.0
11,Denny,Roxhill,2012,Enrollment,368.0
12,Denny,Sanislo,2012,Enrollment,281.0
13,Denny,West Seattle Elem.,2012,Enrollment,399.0
14,Eckstein,Bryant,2012,Enrollment,579.0
15,Eckstein,Green Lake,2012,Enrollment,259.0
16,Eckstein,Jane Addams,2012,Enrollment,581.0
17,Eckstein,John Rogers,2012,Enrollment,307.0
18,Eckstein,Olympic Hills,2012,Enrollment,271.0
19,Eckstein,Olympic View,2012,Enrollment,481.0
20,Eckstein,Pinehurst,2012,Enrollment,148.0
21,Eckstein,Sacajawea,2012,Enrollment,260.0
22,Eckstein,Sand Point,2012,Enrollment,231.0
23,Eckstein,Thornton Creek,2012,Enrollment,362.0
24,Eckstein,View Ridge,2012,Enrollment,598.0
25,Eckstein,Wedgwood,2012,Enrollment,471.0
26,Hamilton,APP at Lincoln,2012,Enrollment,524.0
27,Hamilton,B. F. Day,2012,Enrollment,336.0
28,Hamilton,J. Stanford Intl.,2012,Enrollment,451.0
29,Hamilton,Laurelhurst,2012,Enrollment,410.0
30,Hamilton,McDonald,2012,Enrollment,277.0
31,Hamilton,West Woodland,2012,Enrollment,486.0
32,Madison,Alki,2012,Enrollment,357.0
33,Madison,Gatewood,2012,Enrollment,461.0
34,Madison,Lafayette,2012,Enrollment,548.0
35,Madison,Pathfinder,2012,Enrollment,484.0
36,Madison,Schmitz Park,2012,Enrollment,536.0
37,McClure,Catharine Blaine,2012,Enrollment,621.0
38,McClure,Coe,2012,Enrollment,452.0
39,McClure,John Hay,2012,Enrollment,546.0
40,McClure,Lawton,2012,Enrollment,433.0
41,McClure,Queen Anne,2012,Enrollment,279.0
42,Mercer,Beacon Hill Intl.,2012,Enrollment,461.0
43,Mercer,Dearborn Park,2012,Enrollment,337.0
44,Mercer,Hawthorne,2012,Enrollment,321.0
45,Mercer,Kimball,2012,Enrollment,475.0
46,Mercer,Maple,2012,Enrollment,473.0
47,Mercer,Orca,2012,Enrollment,492.0
48,Mercer,Van Asselt,2012,Enrollment,523.0
49,Washington,Gatzert,2012,Enrollment,378.0
50,Washington,John Muir,2012,Enrollment,459.0
51,Washington,Leschi,2012,Enrollment,366.0
52,Washington,Lowell*,2012,Enrollment,182.0
53,Washington,Madrona,2012,Enrollment,275.0
54,Washington,McGilvra,2012,Enrollment,301.0
55,Washington,Montlake,2012,Enrollment,238.0
56,Washington,Stevens,2012,Enrollment,377.0
57,Washington,T. Marshall,2012,Enrollment,455.0
58,Washington,TOPS,2012,Enrollment,498.0
59,Whitman,Adams,2012,Enrollment,482.0
60,Whitman,Broadview-Thomson,2012,Enrollment,639.0
61,Whitman,Daniel Bagley,2012,Enrollment,402.0
62,Whitman,Greenwood,2012,Enrollment,357.0
63,Whitman,Loyal Heights,2012,Enrollment,426.0
64,Whitman,North Beach,2012,Enrollment,314.0
65,Whitman,Northgate,2012,Enrollment,248.0
66,Whitman,Salmon Bay,2012,Enrollment,694.0
67,Whitman,Viewlands,2012,Enrollment,246.0
68,Whitman,Whittier,2012,Enrollment,466.0
69,Middle Schools,Aki Kurose,2012,Enrollment,743.0
70,Middle Schools,Denny Intl.,2012,Enrollment,896.0
71,Middle Schools,Eckstein,2012,Enrollment,1298.0
72,Middle Schools,Hamilton Intl.,2012,Enrollment,974.0
73,Middle Schools,Madison,2012,Enrollment,752.0
74,Middle Schools,McClure,2012,Enrollment,448.0
75,Middle Schools,Mercer,2012,Enrollment,983.0
76,Middle Schools,Washington,2012,Enrollment,1160.0
77,Middle Schools,Whitman,2012,Enrollment,971.0
78,High Schools,Ballard,2012,Enrollment,1609.0
79,High Schools,Center School,2012,Enrollment,285.0
80,High Schools,Chief Sealth Intl.,2012,Enrollment,1275.0
81,High Schools,Cleveland,2012,Enrollment,838.0
82,High Schools,Franklin,2012,Enrollment,1445.0
83,High Schools,Garfield,2012,Enrollment,1669.0
84,High Schools,Ingraham,2012,Enrollment,1018.0
85,High Schools,Nathan Hale,2012,Enrollment,1171.0
86,High Schools,Nova,2012,Enrollment,340.0
87,High Schools,Rainier Beach,2012,Enrollment,407.0
88,High Schools,Roosevelt,2012,Enrollment,1691.0
89,High Schools,West Seattle,2012,Enrollment,968.0
90,Service Schools,Ed. Serv. Center,2012,Enrollment,18.0
91,Service Schools,Home School Resource,2012,Enrollment,182.0
92,Service Schools,InterAgency,2012,Enrollment,394.0
93,Service Schools,Middle College,2012,Enrollment,169.0
94,Service Schools,World School,2012,Enrollment,187.0
95,Service Schools,South Lake,2012,Enrollment,127.0
96,Service Schools,SpEd Consortium,2012,Enrollment,162.0
97,All,TOTAL,2012,Enrollment,49864.0
0,Aki Kurose,Dunlap,2013,Enrollment,362.0
1,Aki Kurose,Emerson,2013,Enrollment,285.0
2,Aki Kurose,Graham Hill,2013,Enrollment,398.0
3,Aki Kurose,Martin Luther King Jr.,2013,Enrollment,363.0
4,Aki Kurose,Rainier View,2013,Enrollment,201.0
5,Aki Kurose,South Shore,2013,Enrollment,625.0
6,Aki Kurose,Wing Luke,2013,Enrollment,350.0
7,Denny,Arbor Heights,2013,Enrollment,364.0
8,Denny,Concord Intl.,2013,Enrollment,394.0
9,Denny,Highland Park,2013,Enrollment,419.0
10,Denny,K-5 STEM at Boren,2013,Enrollment,327.0
11,Denny,Roxhill,2013,Enrollment,377.0
12,Denny,Sanislo,2013,Enrollment,273.0
13,Denny,West Seattle Elem.,2013,Enrollment,424.0
14,Eckstein,Bryant,2013,Enrollment,594.0
15,Eckstein,Green Lake,2013,Enrollment,257.0
16,Eckstein,Jane Addams*,2013,Enrollment,737.0
17,Eckstein,John Rogers,2013,Enrollment,323.0
18,Eckstein,Laurelhurst,2013,Enrollment,427.0
19,Eckstein,Olympic Hills,2013,Enrollment,297.0
20,Eckstein,Olympic View,2013,Enrollment,465.0
21,Eckstein,Pinehurst,2013,Enrollment,152.0
22,Eckstein,Sacajawea,2013,Enrollment,252.0
23,Eckstein,Sand Point,2013,Enrollment,271.0
24,Eckstein,Thornton Creek,2013,Enrollment,389.0
25,Eckstein,View Ridge,2013,Enrollment,601.0
26,Eckstein,Wedgwood,2013,Enrollment,482.0
27,Hamilton,APP at Lincoln,2013,Enrollment,598.0
28,Hamilton,B. F. Day,2013,Enrollment,324.0
29,Hamilton,J. Stanford Intl.,2013,Enrollment,458.0
30,Hamilton,McDonald,2013,Enrollment,365.0
31,Hamilton,West Woodland,2013,Enrollment,519.0
32,Madison,Alki,2013,Enrollment,384.0
33,Madison,Gatewood,2013,Enrollment,500.0
34,Madison,Lafayette,2013,Enrollment,571.0
35,Madison,Pathfinder,2013,Enrollment,502.0
36,Madison,Schmitz Park,2013,Enrollment,584.0
37,McClure,Catharine Blaine,2013,Enrollment,642.0
38,McClure,Coe,2013,Enrollment,508.0
39,McClure,John Hay,2013,Enrollment,547.0
40,McClure,Lawton,2013,Enrollment,422.0
41,McClure,Queen Anne,2013,Enrollment,338.0
42,Mercer,Beacon Hill Intl.,2013,Enrollment,465.0
43,Mercer,Dearborn Park,2013,Enrollment,349.0
44,Mercer,Hawthorne,2013,Enrollment,348.0
45,Mercer,Kimball,2013,Enrollment,447.0
46,Mercer,Maple,2013,Enrollment,453.0
47,Mercer,Orca,2013,Enrollment,484.0
48,Mercer,Van Asselt,2013,Enrollment,531.0
49,Washington,Gatzert,2013,Enrollment,374.0
50,Washington,John Muir,2013,Enrollment,450.0
51,Washington,Leschi,2013,Enrollment,379.0
52,Washington,Lowell,2013,Enrollment,208.0
53,Washington,Madrona,2013,Enrollment,285.0
54,Washington,McGilvra,2013,Enrollment,289.0
55,Washington,Montlake,2013,Enrollment,232.0
56,Washington,Stevens,2013,Enrollment,406.0
57,Washington,T. Marshall,2013,Enrollment,496.0
58,Washington,TOPS,2013,Enrollment,500.0
59,Whitman,Adams,2013,Enrollment,515.0
60,Whitman,Broadview-Thomson,2013,Enrollment,661.0
61,Whitman,Daniel Bagley,2013,Enrollment,399.0
62,Whitman,Greenwood,2013,Enrollment,367.0
63,Whitman,Loyal Heights,2013,Enrollment,440.0
64,Whitman,North Beach,2013,Enrollment,306.0
65,Whitman,Northgate,2013,Enrollment,216.0
66,Whitman,Salmon Bay,2013,Enrollment,675.0
67,Whitman,Viewlands,2013,Enrollment,314.0
68,Whitman,Whittier,2013,Enrollment,476.0
69,Middle Schools,Aki Kurose,2013,Enrollment,741.0
70,Middle Schools,Denny Intl.,2013,Enrollment,944.0
71,Middle Schools,Eckstein,2013,Enrollment,1220.0
72,Middle Schools,Hamilton Intl.,2013,Enrollment,1108.0
73,Middle Schools,Madison,2013,Enrollment,777.0
74,Middle Schools,McClure,2013,Enrollment,520.0
75,Middle Schools,Mercer,2013,Enrollment,967.0
76,Middle Schools,Washington,2013,Enrollment,1165.0
77,Middle Schools,Whitman,2013,Enrollment,955.0
78,High Schools,Ballard,2013,Enrollment,1582.0
79,High Schools,Center School,2013,Enrollment,283.0
80,High Schools,Chief Sealth Intl.,2013,Enrollment,1249.0
81,High Schools,Cleveland,2013,Enrollment,843.0
82,High Schools,Franklin,2013,Enrollment,1373.0
83,High Schools,Garfield,2013,Enrollment,1604.0
84,High Schools,Ingraham,2013,Enrollment,1074.0
85,High Schools,Nathan Hale,2013,Enrollment,1119.0
86,High Schools,Nova,2013,Enrollment,331.0
87,High Schools,Rainier Beach,2013,Enrollment,484.0
88,High Schools,Roosevelt,2013,Enrollment,1712.0
89,High Schools,West Seattle,2013,Enrollment,964.0
90,Service Schools,Ed. Serv. Center,2013,Enrollment,15.0
91,Service Schools,Home School Resource,2013,Enrollment,146.0
92,Service Schools,InterAgency,2013,Enrollment,466.0
93,Service Schools,Middle College,2013,Enrollment,163.0
94,Service Schools,World School,2013,Enrollment,224.0
95,Service Schools,South Lake,2013,Enrollment,107.0
96,Service Schools,SpEd Consortium,2013,Enrollment,138.0
97,All,TOTAL,2013,Enrollment,51010.0
0,Aki Kurose ,Dunlap,2014,Enrollment,380.0
1,Aki Kurose ,Emerson,2014,Enrollment,274.0
2,Aki Kurose ,Graham Hill,2014,Enrollment,385.0
3,Aki Kurose ,Martin Luther King Jr. ,2014,Enrollment,367.0
4,Aki Kurose ,Rainier View ,2014,Enrollment,188.0
5,Aki Kurose ,South Shore K-8 ,2014,Enrollment,641.0
6,Aki Kurose ,Wing Luke ,2014,Enrollment,348.0
7,Denny ,Arbor Heights ,2014,Enrollment,371.0
8,Denny ,Concord Intl. ,2014,Enrollment,412.0
9,Denny ,Highland Park,2014,Enrollment,363.0
10,Denny ,K-5 STEM at Boren,2014,Enrollment,354.0
11,Denny ,Roxhill,2014,Enrollment,372.0
12,Denny ,Sanislo,2014,Enrollment,280.0
13,Denny ,West Seattle Elem. ,2014,Enrollment,421.0
14,Eckstein ,Bryant,2014,Enrollment,589.0
15,Eckstein ,Hazel Wolf K-8 ,2014,Enrollment,711.0
16,Eckstein ,Laurelhurst ,2014,Enrollment,421.0
17,Eckstein ,Olympic View ,2014,Enrollment,472.0
18,Eckstein ,Sand Point ,2014,Enrollment,259.0
19,Eckstein ,Thornton Creek ,2014,Enrollment,402.0
20,Eckstein ,View Ridge ,2014,Enrollment,588.0
21,Eckstein ,Wedgwood ,2014,Enrollment,469.0
22,Hamilton ,APP at Lincoln,2014,Enrollment,686.0
23,Hamilton ,B. F. Day,2014,Enrollment,324.0
24,Hamilton ,Green Lake,2014,Enrollment,296.0
25,Hamilton ,J. Stanford Intl.,2014,Enrollment,469.0
26,Hamilton , Licton Springs K-8 ,2014,Enrollment,116.0
27,Hamilton ,McDonald Int'l ,2014,Enrollment,408.0
28,Hamilton ,West Woodland ,2014,Enrollment,520.0
29,Jane Addams,John Rogers ,2014,Enrollment,352.0
30,Jane Addams,Olympic Hills ,2014,Enrollment,300.0
31,Jane Addams,Sacajawea ,2014,Enrollment,242.0
32,Madison,Alki,2014,Enrollment,410.0
33,Madison,Fairmount Park* ,2014,Enrollment,364.0
34,Madison,Gatewood,2014,Enrollment,405.0
35,Madison, Lafayette ,2014,Enrollment,505.0
36,Madison,Pathfinder K-8 ,2014,Enrollment,505.0
37,Madison,Schmitz Park ,2014,Enrollment,606.0
38,McClure,Catharine Blaine K-8 ,2014,Enrollment,673.0
39,McClure,Coe ,2014,Enrollment,500.0
40,McClure,John Hay ,2014,Enrollment,518.0
41,McClure,Lawton ,2014,Enrollment,419.0
42,McClure,Queen Anne ,2014,Enrollment,398.0
43,Mercer ,Beacon Hill Intl. ,2014,Enrollment,479.0
44,Mercer ,Dearborn Park,2014,Enrollment,370.0
45,Mercer , Hawthorne ,2014,Enrollment,362.0
46,Mercer ,Kimball ,2014,Enrollment,436.0
47,Mercer ,Maple ,2014,Enrollment,469.0
48,Mercer ,Orca K-8 ,2014,Enrollment,475.0
49,Mercer ,Van Asselt ,2014,Enrollment,524.0
50,Washington ,Bailey Gatzert ,2014,Enrollment,337.0
51,Washington ,John Muir ,2014,Enrollment,439.0
52,Washington ,Leschi,2014,Enrollment,382.0
53,Washington ,Lowell ,2014,Enrollment,266.0
54,Washington ,Madrona K-8 ,2014,Enrollment,290.0
55,Washington ,McGilvra ,2014,Enrollment,286.0
56,Washington ,Montlake ,2014,Enrollment,251.0
57,Washington ,Stevens ,2014,Enrollment,365.0
58,Washington ,T. Marshall ,2014,Enrollment,500.0
59,Washington ,TOPS K-8 ,2014,Enrollment,493.0
60,Whitman ,Adams ,2014,Enrollment,533.0
61,Whitman ,Broadview-Thomson K-8 ,2014,Enrollment,671.0
62,Whitman ,Daniel Bagley ,2014,Enrollment,429.0
63,Whitman ,Greenwood,2014,Enrollment,369.0
64,Whitman ,Loyal Heights,2014,Enrollment,450.0
65,Whitman ,North Beach,2014,Enrollment,294.0
66,Whitman ,Northgate,2014,Enrollment,207.0
67,Whitman ,Salmon Bay K-8 ,2014,Enrollment,673.0
68,Whitman ,Viewlands,2014,Enrollment,358.0
69,Whitman ,Whittier ,2014,Enrollment,468.0
70,Middle Schools ,Aki Kurose ,2014,Enrollment,730.0
71,Middle Schools ,Denny Intl. ,2014,Enrollment,912.0
72,Middle Schools ,Eckstein ,2014,Enrollment,881.0
73,Middle Schools ,Hamilton Intl.,2014,Enrollment,956.0
74,Middle Schools ,Jane Addams*,2014,Enrollment,728.0
75,Middle Schools , Madison ,2014,Enrollment,764.0
76,Middle Schools ,McClure ,2014,Enrollment,540.0
77,Middle Schools ,Mercer Intl. ,2014,Enrollment,1074.0
78,Middle Schools ,Washington ,2014,Enrollment,1137.0
79,Middle Schools ,Whitman,2014,Enrollment,906.0
80,High Schools ,Ballard,2014,Enrollment,1634.0
81,High Schools ,Center School ,2014,Enrollment,276.0
82,High Schools ,Chief Sealth Intl. ,2014,Enrollment,1212.0
83,High Schools ,Cleveland ,2014,Enrollment,820.0
84,High Schools ,Franklin ,2014,Enrollment,1336.0
85,High Schools ,Garfield ,2014,Enrollment,1586.0
86,High Schools ,Ingraham ,2014,Enrollment,1203.0
87,High Schools ,Nathan Hale ,2014,Enrollment,1141.0
88,High Schools ,Nova,2014,Enrollment,341.0
89,High Schools ,Rainier Beach ,2014,Enrollment,600.0
90,High Schools ,Roosevelt,2014,Enrollment,1695.0
91,High Schools ,West Seattle ,2014,Enrollment,998.0
92,Service Schools ,Cascade Parent Partnership Program,2014,Enrollment,146.0
93,Service Schools ,Education Service Ctrs,2014,Enrollment,13.0
94,Service Schools ,InterAgency,2014,Enrollment,406.0
95,Service Schools ,Middle College ,2014,Enrollment,206.0
96,Service Schools ,Seattle World School ,2014,Enrollment,244.0
97,Service Schools ,South Lake,2014,Enrollment,111.0
98,Service Schools ,SpEd Consortium ,2014,Enrollment,133.0
99,All,Total,2014,Enrollment,51988.0
0,Aki Kurose,Dunlap,2015,Enrollment,300.0
1,Aki Kurose,Emerson,2015,Enrollment,314.0
2,Aki Kurose,Graham Hill,2015,Enrollment,351.0
3,Aki Kurose,Martin Luther King Jr.,2015,Enrollment,323.0
4,Aki Kurose,Rainier View,2015,Enrollment,236.0
5,Aki Kurose,South Shore PK-8,2015,Enrollment,618.0
6,Aki Kurose,Wing Luke,2015,Enrollment,361.0
7,Denny,Arbor Heights,2015,Enrollment,408.0
8,Denny,Concord Intl,2015,Enrollment,401.0
9,Denny,Highland Park,2015,Enrollment,355.0
10,Denny,Roxhill,2015,Enrollment,305.0
11,Denny,STEM K-8,2015,Enrollment,405.0
12,Denny,West Seattle Elem,2015,Enrollment,416.0
13,Eckstein,Bryant,2015,Enrollment,592.0
14,Eckstein,Green Lake,2015,Enrollment,334.0
15,Eckstein,Hazel Wolf K-8,2015,Enrollment,756.0
16,Eckstein,Laurelhurst,2015,Enrollment,432.0
17,Eckstein,Olympic View,2015,Enrollment,453.0
18,Eckstein,Sand Point,2015,Enrollment,256.0
19,Eckstein,Thornton Creek,2015,Enrollment,415.0
20,Eckstein,View Ridge,2015,Enrollment,591.0
21,Eckstein,Wedgwood,2015,Enrollment,482.0
